name_category;number_category
Бетон;0
Арматура строительная;1
Крепеж и метизы (шт.);2
Металлопрокат весовой;3
Материалы гидро-пароизоляционные (кг);4
Материалы теплоизоляционные (м3);5
Инертные материалы;6
Металлопрокат (м2);7
ЖБИ;8
Металлоизделия;9
Общестроительные материалы;10
Труба стальная (т);11
Труба ПВХ, ПЭ, ПП, ПНД, металлополuмерная и т.п.;12
Геоматериалы;13
Резинотехнические изделия (РТИ);14
Металлопрокат (м);15
Материалы теплоизоляционные (м);16
Материалы гидро-пароизоляционные (м2);17
Металлоконструкции;18
Соединительные детали трубопроводов (СДТ);19
ЗРА;20
КИПиА и комплектующие;21
Труба стальная (м);22
Сантехнические изделия и материалы;23
Материалы АКЗ, ОГЗ (кг);24
Материалы систем ОВиК;25
Опоры;26
Конструкции кровельно-фасадные;27
Крепеж и метизы (весовые);28
Оборудование;29
Расходные материалы;30
Материалы АКЗ, ОГЗ (м2);31
Оборудование и материалы противопожарные;32
Колодцы обслуживания, приямки и комплектующие;33
Ёмкости, резервуары;34
Электромонтажные изделия изделия и материалы;35
Вспомогательные МТР;36
Изделия и материалы систем водоотведения;37
Оборудование систем ОВиК;38
Бытовая техника, оргтехика;39
Воздуховоды;40
Окна, двери, ворота и комплектующие;41
Материалы теплоизоляционные (м2);42
Труба прочая (медная, чугунная, ХЦ);43
Смеси, растворы строительные, клей (весовые);44
ЛКМ;45
Кабельно-проводниковая продукция;46
Электромонтажные изделия и материалы (м);47
Электротехника, электроустановочные изделия и материалы;48
Кабеленесущие системы;49
Кабельная арматура (КА);50
Кабеленесущие системы (м);51
Кирпич, газобетонные, керамзитобетонные блоки;52
Материалы теплоизоляционные (шт.);53
Смеси, растворы строительные, клей (м3);54
Сэндвич-панели (м2);55
Отделочные материалы (м);56
Отделочные материалы (м2);57
Сэндвич-панели (шт.);58
Материалы для благоустройства;59
Сварочные материалы;60
ЗИП;61
Геоматериалы (шт.);62
Пиломатериалы;63
Ограждения и комплектующие;64
Маркировочные изделия и материалы;65
Отделочные материалы (шт.);66
Вагончики, контейнеры, блочно-модульные здания;67
Предупреждающие знаки безопасности;68
Оборудование и материалы СКУД ;69
Мебель и декоративные элементы;70
Малые архитектурные формы (МАФ);71
Мебель по дизайн проекту;72
Асфальт;73
Деревья, кустарники, травы;74
ОДЦИ;75
Газоходы (шт.);76
Материалы теплоизоляционные (весовые);77
Ограждения и комплектующие (м);78
Металлоизделия (м);79
Инструмент, механизмы;80
Газоходы (т);81
СИЗ;82
Отделочные материалы (весовые);83
